Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,54.47,,5.56,6.81,12.36,4.83,15.56,0.64,3.19,,,,,,,25.73,54.87,1.1,117.31,,0.0,15.0,979.81,
2024-01-02,61.68,68.61,5.44,6.96,12.4,4.78,15.28,0.63,3.21,,,,,,,25.72,55.43,1.19,118.13,,0.0,11.59,979.09,
2024-01-03,51.43,64.42,5.48,6.9,12.38,4.8,15.35,0.65,3.12,,,,,,,26.23,54.93,1.05,120.36,,0.0,12.09,978.46,
2024-01-04,38.96,52.61,5.64,7.05,12.69,4.67,15.28,0.66,3.09,,,,,,,26.04,60.04,0.93,127.94,,0.0,5.89,978.55,
2024-01-05,42.67,54.81,5.84,7.24,13.08,4.54,15.2,0.66,3.16,,,,,,,24.96,68.85,0.9,115.25,,0.0,7.58,978.83,
2024-01-06,42.7,55.89,5.67,7.27,12.94,4.54,15.29,0.67,3.22,,,,,,,25.49,65.01,0.95,119.03,,0.0,4.15,978.78,
2024-01-07,19.76,28.47,5.49,6.52,12.02,4.94,15.36,0.65,3.18,,,,,,,26.51,57.29,1.06,123.8,,0.0,10.87,978.78,
2024-01-08,5.46,12.0,5.88,6.77,12.65,4.66,15.3,0.64,3.15,,,,,,,24.98,70.61,0.8,115.8,,0.0,1.79,979.22,
2024-01-09,27.72,39.62,6.46,7.78,14.2,4.13,25.36,0.62,3.2,,,,,,,24.76,67.32,0.67,151.51,,0.0,0.53,979.45,
2024-01-10,45.74,65.57,5.99,8.12,14.1,4.08,15.16,0.65,3.14,,,,,,,25.86,51.9,0.96,146.02,,0.0,9.49,979.72,
