Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,,54.98,4.49,7.56,7.53,,9.36,0.16,1.16,0.91,,,,,,,72.61,3.39,277.64,,0.0,94.36,811.97,
2024-01-02,,55.44,4.39,7.31,7.38,,8.68,0.24,1.79,1.31,,,,,,,72.99,3.93,284.6,,0.0,64.27,813.06,
2024-01-03,,45.7,4.8,7.0,7.37,,10.62,0.28,42.19,1.52,,,,,,,71.28,3.34,280.57,,0.0,108.42,815.6,
2024-01-04,,42.77,5.09,7.66,7.79,,7.79,,2.22,,,,,,,,70.27,1.94,266.18,,0.0,93.96,813.48,
2024-01-05,,38.76,5.0,8.25,8.16,,10.12,,0.95,,,,,,,,75.45,1.59,258.78,,0.0,85.29,819.57,
2024-01-06,,53.01,4.7,8.0,8.04,,8.5,,1.87,,,,,,,,75.74,2.1,273.28,,0.0,107.39,820.74,
2024-01-07,,36.19,5.46,7.58,8.22,,8.81,,3.01,,,,,,,,73.97,2.63,279.28,,0.0,59.83,813.5,
2024-01-08,,25.98,5.45,7.55,8.29,,10.78,,1.58,,,,,,,,76.96,2.46,280.27,,0.0,64.15,814.4,
2024-01-09,,22.0,4.03,7.88,7.31,,8.82,,7.24,,,,,,,,82.64,3.43,277.98,,0.0,33.67,853.96,
2024-01-10,,51.67,5.17,18.77,14.26,,8.99,0.16,8.21,0.9,,,,,,,75.32,4.83,277.93,,0.0,43.8,833.02,
2024-01-11,,55.9,5.12,33.66,23.6,,11.49,0.29,4.8,3.1,0.5,,,,,,70.84,5.62,286.72,,0.0,58.03,823.03,
2024-01-12,,57.54,4.54,15.91,12.17,,10.12,0.41,8.87,2.98,,,,,,,68.19,4.63,280.89,,0.0,108.95,818.41,
2024-01-13,,58.23,5.3,17.51,13.69,,11.23,0.35,7.4,1.93,,,,,,,70.11,2.59,276.32,,0.0,124.67,818.04,
2024-01-14,,95.78,4.8,15.66,12.25,,10.27,0.25,4.09,2.05,,,,,,,71.58,3.13,277.69,,0.0,112.64,816.18,
2024-01-15,,97.22,5.34,16.74,13.23,,11.17,0.24,5.96,2.18,,,,,,,67.45,3.05,276.87,,0.0,121.6,812.18,
2024-01-16,,63.14,5.3,17.81,13.81,,11.36,0.33,12.56,2.51,,,,,,,66.31,2.19,243.85,,0.0,122.6,811.79,
2024-01-17,,50.36,6.56,19.3,15.64,,9.37,0.34,17.39,2.54,,,,,,,69.52,1.7,260.07,,0.0,137.74,810.3,
