Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,27.87,73.6,5.44,11.6,10.59,0.43,18.31,0.63,6.75,,,,,,,24.15,80.3,0.79,123.24,,0.0,0.0,980.36,
2024-01-02,33.15,89.12,7.54,17.09,15.21,1.02,18.32,0.86,6.74,,,,,,,25.88,72.1,0.85,110.82,,0.0,0.0,978.87,
2024-01-03,24.06,85.2,8.96,16.67,16.14,1.54,17.23,0.96,6.8,,,,,,,23.74,82.47,0.93,141.4,,0.0,0.0,978.83,
2024-01-04,,65.74,6.44,12.33,11.8,0.45,15.1,0.83,6.67,,,,,,,25.63,78.58,0.86,112.72,,0.0,0.0,978.46,
2024-01-05,31.4,64.91,6.35,14.52,12.88,0.81,15.42,0.77,6.75,,,,,,,24.79,84.96,0.51,127.88,,0.0,0.0,978.64,
2024-01-06,26.39,80.49,6.76,15.66,13.81,1.45,15.44,0.73,6.75,,,,,,,27.0,73.87,0.83,116.22,,0.0,0.0,978.18,
2024-01-07,16.41,58.55,6.87,13.82,12.93,1.77,15.44,0.74,6.73,,,,,,,26.76,74.79,0.85,118.87,,0.0,0.0,978.16,
2024-01-08,13.0,42.75,6.19,12.67,11.77,0.17,15.43,0.65,6.74,,,,,,,24.79,84.37,0.62,118.49,,0.0,0.0,979.43,
2024-01-09,20.77,49.99,15.8,15.25,20.91,0.69,15.38,1.15,6.69,,,,,,,23.13,95.03,0.37,159.54,,0.0,0.0,979.15,
2024-01-10,33.27,75.57,14.35,18.33,21.4,1.18,15.45,1.28,6.7,,,,,,,24.57,83.25,0.57,140.01,,0.0,0.0,979.53,
2024-01-11,28.52,111.34,13.3,20.14,21.52,0.31,15.08,0.98,6.69,,,,,,,25.44,73.87,0.8,135.37,,0.0,0.0,980.06,
2024-01-12,27.63,108.82,11.31,21.66,20.71,1.19,15.22,1.02,6.66,,,,,,,25.53,69.74,0.96,125.64,,0.0,0.0,979.38,
2024-01-13,40.02,144.25,17.27,23.57,26.58,0.98,15.38,1.39,6.73,,,,,,,24.84,74.06,0.6,142.41,,0.0,0.0,980.41,
2024-01-14,42.23,125.94,6.5,17.69,14.69,0.51,15.44,0.91,6.76,,,,,,,26.38,71.34,0.98,125.17,,0.0,0.0,979.33,
2024-01-15,40.55,105.34,3.9,14.1,10.67,0.73,15.42,0.71,6.75,,,,,,,26.47,65.61,0.88,133.63,,0.0,0.0,979.19,
2024-01-16,35.18,92.41,4.12,13.68,10.63,0.7,15.39,0.7,6.7,,,,,,,25.6,70.7,0.81,116.89,,0.0,0.0,978.28,
2024-01-17,25.0,70.73,5.35,14.24,11.92,1.14,15.49,0.72,6.7,,,,,,,26.07,63.68,0.82,103.92,,0.0,0.0,977.69,
2024-01-18,16.92,54.82,5.73,12.52,11.32,1.05,15.42,0.64,6.71,,,,,,,26.41,67.88,0.8,95.38,,0.0,0.0,978.25,
2024-01-19,14.04,47.0,5.44,8.52,8.95,0.49,15.38,0.51,6.71,,,,,,,26.72,73.49,0.97,130.89,,0.0,0.0,977.93,
2024-01-20,22.93,82.15,12.29,20.44,20.86,0.6,15.21,0.95,6.71,,,,,,,26.75,69.93,0.91,130.17,,0.0,0.0,979.74,
2024-01-21,,74.3,6.85,18.04,15.17,0.53,15.32,0.84,6.71,,,,,,,27.54,63.17,0.9,123.43,,0.0,0.0,979.58,
2024-01-22,28.83,65.33,7.69,16.76,15.17,0.78,15.3,0.8,6.71,,,,,,,27.13,64.39,0.9,106.19,,0.0,0.0,980.5,
2024-01-23,21.16,66.25,9.23,16.23,16.13,0.86,15.14,0.82,6.73,,,,,,,26.61,65.12,0.94,130.4,,0.0,0.0,980.39,
2024-01-24,20.19,67.31,7.0,17.46,14.97,1.15,15.29,0.77,6.74,,,,,,,26.99,64.24,0.8,105.66,,0.0,0.0,979.78,
2024-01-25,19.7,69.61,7.51,17.66,15.51,0.85,15.21,0.83,6.74,,,,,,,26.05,65.89,0.89,110.06,,0.0,0.0,980.75,
2024-01-26,21.2,68.2,8.4,17.22,15.99,0.67,15.24,0.93,6.75,,,,,,,26.93,60.25,1.03,108.6,,0.0,0.0,981.95,
2024-01-27,20.21,54.85,7.82,14.12,13.87,0.59,15.16,0.8,6.71,,,,,,,26.08,66.94,0.99,115.02,,0.0,0.0,981.72,
2024-01-28,17.16,52.45,4.85,10.57,9.56,0.92,15.19,0.61,6.64,,,,,,,24.93,73.93,1.0,147.87,,0.0,0.0,982.05,
2024-01-29,26.36,88.3,11.4,20.4,20.11,1.17,15.25,0.95,6.66,,,,,,,26.61,65.95,1.04,120.05,,0.0,0.0,981.03,
2024-01-30,30.27,102.51,14.57,26.31,25.84,1.51,15.31,1.16,6.76,,,,,,,26.92,62.84,0.81,125.71,,0.0,0.0,980.26,
2024-01-31,35.68,114.4,11.91,26.02,23.52,1.27,15.36,1.17,6.69,,,,,,,28.83,63.33,0.8,136.65,,0.0,0.0,980.15,
2024-02-01,29.19,92.81,9.58,21.26,19.1,0.95,15.32,1.07,6.7,,,,,,,28.68,65.65,0.75,126.8,,0.0,0.0,980.14,
