Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,71.87,103.26,4.65,8.99,8.57,3.66,11.7,,1.68,,,,,,,22.53,82.75,0.57,205.8,,0.0,0.0,990.04,
2024-01-02,62.27,103.32,5.95,16.16,13.43,4.33,11.83,,1.44,,,,,,,27.33,58.89,1.59,95.56,,0.0,330.06,988.91,
2024-01-03,66.64,103.76,4.07,12.93,10.19,3.66,11.88,,1.43,,,,,,,26.76,67.24,2.07,83.29,,0.0,184.88,987.92,
2024-01-04,56.86,101.99,9.12,15.17,15.49,4.59,11.92,,1.46,,,,,,,28.09,63.73,1.88,108.57,,0.0,315.5,988.14,
2024-01-05,47.35,85.4,5.39,17.21,13.54,4.24,11.9,,1.58,,,,,,,27.23,63.54,1.63,89.45,,0.0,172.09,987.58,
2024-01-06,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-08,28.05,46.12,6.48,8.5,9.79,3.3,11.79,1.3,1.53,,,,,,,23.6,92.76,2.15,65.53,,0.0,33.47,989.69,
2024-01-09,48.25,73.54,6.19,6.17,8.31,2.87,11.78,1.26,1.52,,,,,,,25.5,77.93,1.59,94.44,,0.0,139.71,989.71,
2024-01-10,49.08,88.82,7.36,9.59,10.89,3.75,11.83,1.22,1.55,,,,,,,25.12,76.47,1.17,124.28,,0.0,110.57,989.38,
2024-01-11,56.69,95.11,10.4,11.32,14.48,4.17,11.83,,1.53,,,,,,,25.0,75.56,1.18,132.08,,0.0,99.43,989.88,
2024-01-12,62.56,99.78,11.48,13.36,16.44,4.47,12.14,0.23,1.56,,,,,,,24.4,76.91,1.04,148.82,,0.0,124.78,989.96,
2024-01-13,77.96,120.0,13.1,14.08,18.14,4.57,11.93,,1.54,,,,,,,25.27,76.23,0.88,163.55,,0.0,148.59,990.12,
2024-01-14,113.31,158.15,7.49,11.23,12.06,3.77,11.83,0.17,1.48,,,,,,,25.24,74.79,1.07,153.09,,0.0,156.49,989.84,
2024-01-15,84.02,125.21,10.32,8.78,13.06,4.06,11.81,,1.54,,,,,,,21.28,86.08,0.43,176.2,,0.0,45.69,989.66,
2024-01-16,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-17,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-18,30.42,60.07,4.58,10.09,9.09,2.87,11.91,,1.5,,,,,,,28.14,59.58,1.33,134.39,,0.0,250.47,987.57,
2024-01-19,42.33,72.8,12.08,4.91,12.43,3.41,11.94,,1.48,,,,,,,24.37,81.83,0.64,186.7,,0.0,177.72,988.87,
2024-01-20,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-21,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-22,35.66,68.0,12.4,10.23,13.79,4.07,14.17,,1.38,,,,,,,29.1,54.99,1.39,154.5,,0.0,421.04,990.17,
2024-01-23,41.37,77.61,8.1,9.53,11.66,2.98,11.94,0.24,1.49,,,,,,,27.4,62.9,1.3,159.9,,0.0,201.35,989.28,
2024-01-24,39.5,68.51,9.07,9.49,12.3,3.87,12.07,0.2,1.53,,,,,,,25.35,69.85,1.01,167.66,,0.0,163.56,989.33,
2024-01-25,48.63,80.43,13.77,7.92,15.41,4.26,11.87,,1.46,,,,,,,23.5,77.58,0.61,174.49,,0.0,136.3,990.27,
2024-01-26,33.48,63.3,4.75,11.74,10.1,3.73,11.76,,1.51,,,,,,,26.88,64.9,1.67,100.51,,0.0,123.98,991.67,
2024-01-27,31.54,60.37,7.45,9.17,10.94,3.73,11.73,0.37,1.46,,,,,,,25.9,69.36,1.58,135.74,,0.0,191.13,992.06,
2024-01-28,37.77,61.62,8.06,6.86,10.2,3.55,11.72,,1.45,,,,,,,25.32,74.9,1.16,140.95,,0.0,221.33,992.03,
2024-01-29,51.72,90.43,2.86,9.66,7.46,2.65,11.76,0.2,1.42,,,,,,,27.07,52.09,2.05,92.19,,0.0,205.79,990.28,
2024-01-30,44.84,75.93,5.66,7.26,8.46,2.9,11.81,0.4,1.43,,,,,,,25.09,65.99,1.03,173.56,,0.0,184.53,990.19,
2024-01-31,30.9,54.71,10.02,6.18,11.43,3.56,12.02,,1.43,,,,,,,23.52,81.83,0.67,158.42,,0.0,24.48,990.25,
2024-02-01,31.65,59.82,6.07,10.65,10.6,3.73,12.24,0.22,1.54,,,,,,,29.42,65.65,1.51,137.45,,0.0,238.77,989.08,
2024-02-02,24.29,49.11,5.52,6.8,8.1,3.18,12.19,0.22,1.53,,,,,,,27.69,73.91,1.24,134.06,,0.0,140.29,989.35,
2024-02-03,30.0,59.0,5.38,7.68,8.46,3.16,12.16,,1.45,,,,,,,26.93,72.32,1.25,137.15,,0.0,189.36,990.49,
2024-02-04,35.47,63.68,9.99,7.54,12.14,3.86,12.13,,1.49,,,,,,,26.1,73.48,0.95,154.11,,0.0,236.59,992.16,
2024-02-05,50.82,97.59,8.09,13.83,13.93,3.98,12.3,,1.46,,,,,,,28.25,58.37,1.53,135.41,,0.0,270.62,992.01,
2024-02-06,50.44,85.63,7.55,10.08,11.5,3.72,12.14,0.21,1.48,,,,,,,26.34,68.1,1.15,147.21,,0.0,193.62,991.47,
2024-02-07,59.31,102.86,6.87,12.53,12.25,3.74,12.19,0.25,1.53,,,,,,,26.89,61.38,1.08,168.71,,0.0,221.33,990.76,
2024-02-08,41.19,94.84,9.38,19.09,17.78,4.56,12.28,,1.46,,,,,,,29.74,46.83,1.2,153.06,,0.0,277.11,989.74,
2024-02-09,31.08,81.05,9.39,11.04,13.51,4.09,12.16,,1.54,,,,,,,26.58,69.99,1.14,157.64,,0.0,192.48,990.64,
2024-02-10,30.76,78.83,10.97,9.22,13.83,4.04,12.11,,1.52,,,,,,,25.47,78.89,1.14,144.97,,0.0,74.42,992.54,
2024-02-11,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-12,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-13,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-14,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-15,45.65,85.51,11.26,9.04,13.97,3.7,12.2,,1.48,,,,,,,25.85,70.53,1.25,158.02,,0.0,292.89,990.98,
2024-02-16,46.75,96.13,8.48,13.56,14.11,4.28,12.2,0.2,1.52,,,,,,,29.03,53.93,1.93,115.99,,0.0,294.41,990.49,
2024-02-17,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-18,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-19,53.79,92.49,16.9,12.54,20.41,4.44,,,1.44,,,,,,,28.09,63.12,1.01,205.91,,0.0,443.2,991.33,
2024-02-20,36.86,76.33,4.41,15.98,12.09,4.05,,,1.67,,,,,,,29.74,52.05,1.66,132.46,,0.0,158.26,987.26,
2024-02-21,49.67,84.66,8.92,12.8,14.06,4.12,11.61,0.36,1.51,,,,,,,28.48,60.57,1.15,162.76,,0.0,214.28,986.95,
2024-02-22,46.94,86.98,5.25,19.07,14.41,4.06,11.85,0.39,1.57,,,,,,,31.49,54.48,1.51,138.66,,0.0,243.7,986.09,
2024-02-23,47.15,82.65,5.01,12.13,10.53,3.72,11.6,0.46,1.53,,,,,,,30.53,64.26,1.33,156.58,,0.0,199.52,985.96,
2024-02-24,43.03,71.53,6.58,9.43,10.37,3.83,,,1.53,,,,,,,28.54,71.28,1.66,152.05,,0.0,174.73,987.09,
2024-02-25,26.18,37.49,5.82,4.12,6.93,3.18,,,1.43,,,,,,,25.08,84.71,0.98,130.34,,0.0,0.0,986.87,
2024-02-26,27.65,66.04,6.32,8.47,9.65,2.84,,,1.4,,,,,,,29.7,57.87,2.39,93.26,,0.0,262.56,987.71,
2024-02-27,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-28,29.55,67.54,5.54,8.63,9.0,3.21,12.95,0.18,1.36,,,,,,,31.15,46.71,1.73,123.05,,0.0,353.55,987.2,
2024-02-29,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-03-01,32.89,74.29,5.77,15.35,13.08,4.25,11.62,0.16,1.66,,,,,,,32.15,39.43,1.91,122.76,,0.0,471.59,988.22,
2024-03-02,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-03-03,47.29,86.84,6.49,13.95,12.7,3.83,,,1.53,,,,,,,28.34,60.24,1.51,118.71,,0.0,4.64,987.27,
2024-03-04,31.66,61.57,5.49,8.64,11.0,4.52,12.99,0.18,1.48,,,,,,,27.55,70.94,1.03,175.93,,0.0,131.34,987.13,
2024-03-05,36.27,80.06,6.63,14.0,12.84,3.85,,,1.5,,,,,,,30.71,51.5,1.59,138.11,,0.0,278.43,986.96,
2024-03-06,32.64,63.87,13.04,9.18,15.49,3.98,,,1.52,,,,,,,27.58,66.45,0.94,182.07,,0.0,244.37,988.06,
2024-03-07,30.07,86.5,6.41,12.98,13.04,3.31,11.74,0.38,1.51,,,,,,,29.75,44.39,1.47,143.02,,0.0,125.95,987.47,
2024-03-08,29.84,81.57,8.41,10.36,12.35,3.06,,,1.5,,,,,,,29.13,54.7,1.26,167.1,,0.0,186.97,986.71,
2024-03-09,14.08,69.92,8.77,5.09,9.84,3.18,,,1.56,,,,,,,28.24,72.72,1.01,168.55,,0.0,209.28,987.28,
