Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,88.81,136.22,5.60,14.15,19.76,NA,7.08,0.60,6.30,0.47,0.41,NA,NA,0.10,0.11,NA,84.15,0.45,46.70,NA,NA,16.16,1002.81,-0.50
2025-01-02 00:00:00,91.88,140.90,4.50,13.13,17.63,25.12,6.79,0.60,6.16,0.56,0.38,NA,NA,0.09,0.07,NA,76.88,0.47,44.20,NA,NA,16.23,1002.74,-0.50
2025-01-03 00:00:00,69.18,107.20,3.09,12.70,15.79,25.24,5.68,0.60,5.66,0.46,0.36,NA,NA,0.07,0.06,NA,76.77,0.48,87.63,NA,NA,16.44,1003.09,-0.50
2025-01-04 00:00:00,69.41,83.79,3.77,12.65,16.42,25.91,6.39,0.60,5.20,0.41,0.34,NA,NA,0.10,0.06,NA,78.47,0.46,104.87,NA,NA,16.61,1002.26,-0.50
2025-01-05 00:00:00,76.92,103.83,4.23,12.82,17.05,25.72,7.32,0.60,5.80,0.26,0.25,NA,NA,0.07,0.04,NA,75.08,0.45,161.18,NA,NA,16.24,1002.39,-0.50
2025-01-06 00:00:00,116.80,NA,3.67,12.58,16.25,26.83,6.59,0.60,5.08,0.36,0.37,NA,NA,0.06,0.04,NA,84.13,0.48,80.03,NA,NA,16.98,1001.84,-0.50
2025-01-07 00:00:00,165.13,86.12,4.07,12.95,17.01,29.10,6.37,0.60,5.52,0.34,0.27,NA,NA,0.09,0.08,NA,81.90,0.48,70.67,NA,NA,16.69,1001.82,-0.50
2025-01-08 00:00:00,51.74,79.36,4.20,12.84,17.04,34.42,6.31,0.60,4.96,0.30,0.38,NA,NA,0.22,0.19,NA,76.78,0.48,102.85,NA,NA,15.89,1001.80,-0.50
2025-01-09 00:00:00,55.79,85.56,4.92,13.29,18.21,32.74,6.88,0.60,5.55,0.43,0.46,NA,NA,0.30,0.26,NA,77.07,0.47,99.26,NA,NA,17.67,1002.70,-0.50
2025-01-10 00:00:00,54.29,83.26,3.97,12.65,16.62,35.51,6.75,0.60,5.77,0.43,0.42,NA,NA,0.11,0.10,NA,85.43,0.46,49.03,NA,NA,17.00,1003.99,-0.50
2025-01-11 00:00:00,37.03,56.78,2.31,11.27,13.58,30.20,6.89,0.60,6.03,0.51,0.50,NA,NA,0.12,0.08,NA,79.87,0.47,34.52,NA,NA,16.10,1003.91,-0.50
2025-01-12 00:00:00,40.28,61.78,3.48,11.22,14.70,25.82,6.49,0.60,5.08,0.22,0.22,NA,NA,0.09,0.05,NA,90.96,0.46,77.53,NA,NA,13.76,1003.32,-0.50
2025-01-13 00:00:00,34.99,51.35,3.03,11.06,14.09,24.30,7.93,0.60,5.66,0.28,0.46,NA,NA,0.12,0.06,NA,91.61,0.45,132.96,NA,NA,16.91,1001.95,-0.50
2025-01-14 00:00:00,23.35,35.81,3.42,11.10,14.52,20.86,6.85,0.60,6.34,0.44,0.37,NA,NA,0.09,0.03,NA,84.46,0.48,65.74,NA,NA,17.37,1003.24,-0.50
2025-01-15 00:00:00,24.26,37.21,2.45,10.90,13.34,20.50,6.07,0.60,6.39,0.43,0.34,NA,NA,0.09,0.06,NA,83.27,0.47,38.20,NA,NA,17.30,1004.10,-0.50
2025-01-16 00:00:00,46.87,71.89,1.89,10.91,12.80,20.94,5.87,0.60,6.21,0.40,0.34,NA,NA,0.07,0.05,NA,81.48,0.47,35.28,NA,NA,17.62,1003.79,-0.50
2025-01-17 00:00:00,59.58,91.38,2.07,10.86,12.93,21.75,6.31,0.60,5.77,0.36,0.32,NA,NA,0.06,0.05,NA,77.54,0.47,56.89,NA,NA,17.83,1002.75,-0.50
2025-01-18 00:00:00,53.79,82.37,1.64,11.08,12.72,23.46,6.40,0.60,5.34,0.47,0.36,NA,NA,0.08,0.05,NA,82.70,0.44,44.31,NA,NA,16.14,1001.86,-0.50
2025-01-19 00:00:00,34.24,52.52,2.59,11.08,13.67,19.69,6.09,0.60,5.85,0.31,0.23,NA,NA,0.05,0.04,NA,90.25,0.46,63.97,NA,NA,18.22,1001.83,-0.50
2025-01-20 00:00:00,50.24,77.05,3.04,11.61,14.64,21.37,5.58,0.60,5.45,0.50,0.51,NA,NA,0.08,0.06,NA,83.24,0.46,54.67,NA,NA,16.92,1001.40,-0.50
2025-01-21 00:00:00,52.79,80.98,3.63,12.00,15.64,21.56,7.75,0.60,5.39,0.33,0.57,NA,NA,0.13,0.06,NA,80.36,0.45,114.94,NA,NA,18.47,1000.74,-0.50
2025-01-22 00:00:00,52.38,80.34,4.02,12.23,16.25,21.46,7.02,0.60,5.22,0.33,0.41,NA,NA,0.15,0.08,NA,86.42,0.47,87.50,NA,NA,17.68,1000.95,-0.50
2025-01-23 00:00:00,40.18,61.63,4.43,11.92,16.35,19.81,7.32,0.60,5.62,0.32,0.31,NA,NA,0.08,0.04,NA,81.62,0.47,56.81,NA,NA,17.87,1001.13,-0.50
2025-01-24 00:00:00,29.91,45.87,3.18,11.24,14.41,20.65,5.63,0.60,5.46,0.26,0.42,NA,NA,0.10,0.07,NA,79.53,0.47,82.85,NA,NA,17.72,1000.88,-0.50
2025-01-25 00:00:00,36.39,55.91,3.86,11.44,15.31,23.46,5.66,0.60,5.32,0.35,0.38,NA,NA,0.10,0.04,NA,80.31,0.48,43.26,NA,NA,17.76,1001.39,-0.50
