Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,61.52,88.38,15.37,6.68,20.49,1.94,11.97,0.80,24.97,0.00,NA,NA,NA,NA,NA,31.23,61.62,22.93,66.60,0.72,69.03,163.61,NA,NA
2025-01-02 00:00:00,52.31,76.02,12.02,6.58,18.58,3.50,11.15,0.80,43.33,0.00,NA,NA,NA,NA,NA,32.93,61.66,22.59,67.91,0.75,72.40,163.79,NA,NA
2025-01-03 00:00:00,40.47,91.37,10.51,6.37,15.60,6.72,10.93,0.81,93.16,0.00,NA,NA,NA,NA,NA,32.94,61.67,22.72,70.24,0.74,71.33,162.39,NA,NA
2025-01-04 00:00:00,67.99,111.80,13.29,6.27,17.50,6.25,11.40,0.87,71.17,0.00,NA,NA,NA,NA,NA,32.96,61.68,22.09,113.20,0.74,70.09,163.82,NA,NA
2025-01-05 00:00:00,57.22,95.88,13.01,5.17,16.49,6.34,11.63,0.91,22.69,0.00,NA,NA,NA,NA,NA,32.93,61.68,23.02,103.06,0.72,69.24,164.43,NA,NA
2025-01-06 00:00:00,61.37,103.51,12.21,4.64,15.96,6.20,11.56,0.86,43.36,0.00,NA,NA,NA,NA,NA,32.99,61.69,21.27,86.38,0.72,68.96,164.11,NA,NA
2025-01-07 00:00:00,53.37,100.27,13.37,5.19,16.80,6.17,11.65,0.86,90.15,0.00,NA,NA,NA,NA,NA,32.95,61.68,21.74,79.33,0.71,68.05,164.43,NA,NA
2025-01-08 00:00:00,58.79,105.93,13.89,5.21,16.72,6.33,11.44,0.92,78.17,0.00,NA,NA,NA,NA,NA,32.98,61.68,21.00,84.64,0.71,67.82,166.21,NA,NA
2025-01-09 00:00:00,47.26,88.75,11.56,5.07,15.73,6.19,11.61,0.67,91.20,0.00,NA,NA,NA,NA,NA,32.94,61.66,21.91,88.59,0.73,69.57,168.13,NA,NA
2025-01-10 00:00:00,53.82,102.55,10.89,4.65,15.03,6.72,11.15,0.16,78.90,0.00,NA,NA,NA,NA,NA,31.49,61.69,22.04,74.44,0.75,71.79,166.41,NA,NA
2025-01-11 00:00:00,27.29,58.64,11.32,4.94,16.25,6.05,10.26,0.34,57.79,0.00,NA,NA,NA,NA,NA,32.96,61.71,21.98,69.44,0.76,73.22,166.64,NA,NA
2025-01-12 00:00:00,34.87,61.32,12.61,3.40,14.06,7.70,10.44,0.37,52.26,0.00,NA,NA,NA,NA,NA,32.71,61.70,22.09,74.48,0.76,72.87,165.74,NA,NA
2025-01-13 00:00:00,109.83,133.02,13.53,3.19,15.18,8.19,10.70,0.40,55.64,0.00,NA,NA,NA,NA,NA,22.83,61.79,22.61,90.39,0.17,15.96,165.88,NA,NA
